game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_08_CHI_BAL,2025,REG,8,2025-10-26,CHI,16,BAL,30,Home,14,46,2.5,45.5,0,outdoors,grass,60.0,2.0,Ben Johnson,John Harbaugh,BAL00,M&T Bank Stadium,REG
2025_08_CLE_NE,2025,REG,8,2025-10-26,CLE,13,NE,32,Home,19,45,7.0,40.5,0,outdoors,fieldturf,53.0,7.0,Kevin Stefanski,Mike Vrabel,BOS00,Gillette Stadium,REG
2025_08_DAL_DEN,2025,REG,8,2025-10-26,DAL,24,DEN,44,Home,20,68,3.5,51.5,0,outdoors,grass,67.0,4.0,Brian Schottenheimer,Sean Payton,DEN00,Empower Field at Mile High,REG
2025_08_GB_PIT,2025,REG,8,2025-10-26,GB,35,PIT,25,Home,-10,60,-3.0,46.5,0,outdoors,grass,46.0,5.0,Matt LaFleur,Mike Tomlin,PIT00,Acrisure Stadium,REG
2025_08_MIA_ATL,2025,REG,8,2025-10-26,MIA,34,ATL,10,Home,-24,44,7.0,44.5,0,closed,fieldturf,,,Mike McDaniel,Raheem Morris,ATL97,Mercedes-Benz Stadium,REG
2025_08_MIN_LAC,2025,REG,8,2025-10-23,MIN,10,LAC,37,Home,27,47,3.0,45.5,0,dome,matrixturf,,,Kevin O'Connell,Jim Harbaugh,LAX01,SoFi Stadium,REG
2025_08_NYG_PHI,2025,REG,8,2025-10-26,NYG,20,PHI,38,Home,18,58,7.0,43.5,1,outdoors,grass,60.0,4.0,Brian Daboll,Nick Sirianni,PHI00,Lincoln Financial Field,REG
2025_08_NYJ_CIN,2025,REG,8,2025-10-26,NYJ,39,CIN,38,Home,-1,77,5.5,43.5,0,outdoors,fieldturf,57.0,8.0,Aaron Glenn,Zac Taylor,CIN00,Paycor Stadium,REG
2025_08_SF_HOU,2025,REG,8,2025-10-26,SF,15,HOU,26,Home,11,41,2.5,41.5,0,closed,astroturf,,,Kyle Shanahan,DeMeco Ryans,HOU00,NRG Stadium,REG
2025_08_TB_NO,2025,REG,8,2025-10-26,TB,23,NO,3,Home,-20,26,-4.5,46.5,1,dome,sportturf,,,Todd Bowles,Kellen Moore,NOR00,Mercedes-Benz Superdome,REG
2025_08_TEN_IND,2025,REG,8,2025-10-26,TEN,14,IND,38,Home,24,52,15.5,47.5,1,closed,fieldturf,,,Brian Callahan,Shane Steichen,IND00,Lucas Oil Stadium,REG
